"","x"
"712",0.468
"713",0.586
"714",0.384
"715",0.652
"716",0.918
"717",0.158
"718",0.49
"719",0.898
"720",0.314
"721",0.48
"722",0.482
"723",0.448
"724",0.574
"725",0.858
"726",0.892
"727",0.774
"728",0.444
"729",0.93
"730",0.556
"731",0.234
"732",0.138
"733",0.806
"734",0.29
"735",0.22
"736",0.234
"737",0.308
"738",0.644
"739",0.256
"740",0.364
"741",0.11
"742",0.762
"743",0.002
"744",0.268
"745",0.864
"746",0.37
"747",0.092
"748",0.196
"749",0.372
"750",0.274
"751",0.07
"752",0.32
"753",0.964
"754",0.972
"755",0.136
"756",0.77
"757",0.878
"758",0.41
"759",0.226
"760",0.726
"761",0.822
"762",0.34
"763",0.568
"764",0.714
"765",0.99
"766",0.242
"767",0.426
"768",0.504
"769",0.522
"770",0.626
"771",0.466
"772",0.534
"773",0.984
"774",0.28
"775",0.792
"776",0.06
"777",0.308
"778",0.734
"779",0.404
"780",0.762
"781",0.44
"782",0.968
"783",0.43
"784",0.966
"785",0.394
"786",0.736
"787",0.518
"788",0.026
"789",0.878
"790",0.962
"791",0.122
"792",0.204
"793",0.98
"794",0.892
"795",0.668
"796",0.866
"797",0.584
"798",0.106
"799",0.438
"800",0.872
"801",0.966
"802",0.902
"803",0.69
"804",0.858
"805",0.568
"806",0.08
"807",0.388
"808",0.762
"809",0.992
"810",0.376
"811",0.816
"812",0.456
"813",0.022
"814",0.954
"815",0.808
"816",0.528
"817",0.774
"818",0.404
"819",0.684
"820",0.96
"821",0.292
"822",0.818
"823",0.008
"824",0.544
"825",0.128
"826",0.66
"827",0.866
"828",0.658
"829",0.638
"830",0.23
"831",0.04
"832",0.118
"833",0.798
"834",0.982
"835",0.43
"836",0.356
"837",0.826
"838",0.328
"839",0.796
"840",0.446
"841",0.502
"842",0.298
"843",0.002
"844",0.464
"845",0.798
"846",0.884
"847",0.238
"848",0.624
"849",0.93
"850",0.708
"851",0.312
"852",0.814
"853",0.272
"854",0.704
"855",0.386
"856",0.91
"857",0.038
"858",0.334
"859",0.392
"860",0.654
"861",0.262
"862",0.248
"863",0.98
"864",0.866
"865",0.828
"866",0.668
"867",0.386
"868",0.162
"869",0.51
"870",0.768
"871",0.58
"872",0.552
"873",0.996
"874",0.308
"875",0.814
"876",0.258
"877",0.194
"878",0.318
"879",0.134
"880",0.282
"881",0.46
"882",0.73
"883",0.386
"884",0.41
"885",0.786
"886",0.184
"887",0.006
"888",0.424
"889",0.43
"890",0.992
"891",0.148
"892",0.53
"893",0.192
"894",0.594
"895",0.338
"896",0.114
"897",0.456
"898",0.422
"899",0.282
"900",0.364
"901",0.042
"902",0.648
"903",0.544
"904",0.038
"905",0.032
"906",0.45
"907",0.468
"908",0.288
"909",0.238
"910",0.922
"911",0.094
"912",0.54
"913",0.386
"914",0.782
"915",0.344
"916",0.386
"917",0.904
"918",0.436
"919",0.844
"920",0.472
"921",0.794
"922",0.764
"923",0.446
"924",0.87
"925",0.244
"926",0.076
"927",0.15
"928",0.346
"929",0.168
"930",0.702
"931",0.778
"932",0.898
"933",0.546
"934",0.844
"935",0.958
"936",0.16
"937",0.016
"938",0.4
"939",0.704
"940",0.334
"941",0.882
"942",0.434
"943",0.964
"944",0.434
"945",0.462
"946",0.398
"947",0.012
"948",0.266
"949",0.978
"950",0.89
"951",0.492
"952",0.242
"953",0.522
"954",0.394
"955",0.828
"956",0.95
"957",0.604
"958",0.072
"959",0.034
"960",0.776
"961",0.756
"962",0.316
"963",0.286
"964",0.066
"965",0.732
"966",0.348
"967",0.312
"968",0.162
"969",0.836
"970",0.528
"971",0.14
"972",0.554
"973",0.756
"974",0.812
"975",0.112
"976",0.898
"977",0.394
"978",0.488
"979",0.776
"980",0.596
"981",0.756
"982",0.566
"983",0.186
"984",0.904
"985",0.186
"986",0.46
"987",0.804
"988",0.394
"989",0.884
"990",0.588
"991",0.41
"992",0.65
"993",0.28
"994",0.812
"995",0.686
"996",0.048
"997",0.726
"998",0.546
"999",0.344
"1000",0.154
