"","x"
"78",6.69965733257568e-11
"79",7.37263827122225e-12
"80",5.20704269606096e-13
"81",5.90256624726682e-13
"82",6.92947037331072e-11
"83",7.42957608920725e-06
"84",3.36033796143987e-12
"85",1.29878593145871e-13
"86",7.38676748530655e-13
"87",1.31308772152521e-12
"88",1.07926495424822e-11
"89",1.33443323738652e-08
"90",8.56833441477807e-12
"91",1.59608383974776e-11
"92",1.43113172755478e-11
"93",2.23658946892805e-11
"94",3.17879524194505e-09
"95",1.51998190660738e-12
"96",1.64397101166235e-10
"97",5.21574699843627e-14
"98",1.36606694216618e-14
"99",1.06311858621005e-10
"100",3.19426961087434e-08
"101",3.86861974572728e-09
"102",7.40295555661312e-12
"103",3.9293507019156e-09
"104",0.000291079355998688
"105",1.35605498843864e-14
"106",1.40665022820238e-11
"107",4.12876626935953e-13
"108",6.54912581380614e-12
"109",1.05890385138059e-10
"110",2.08094341206032e-10
"111",1.7176169802314e-12
"112",2.07951031732072e-08
"113",8.42903522755741e-12
"114",6.17518325770641e-12
"115",2.90596887744514e-10
"116",1.22948705273671e-08
"117",9.49646306198694e-12
"118",7.74116569589757e-10
"119",7.71027405429626e-14
"120",4.25940777234907e-11
"121",2.87344945439495e-12
"122",0.0045370021106367
"123",9.58468853770897e-13
"124",1.71594327530156e-09
"125",2.76261561684021e-15
"126",8.34221478805089e-13
"127",4.01179790151385e-09
"128",4.72454832025168e-12
"129",4.75621219086135e-09
"130",2.47842522749745e-08
"131",5.7611985322295e-10
"132",2.10657028424901e-12
"133",5.60523883522844e-07
"134",1.44973182325721e-10
"135",2.24684124674596e-10
"136",8.04070188123988e-12
"137",2.90590930198471e-14
"138",2.30947676033798e-08
"139",1.87614687657775e-11
"140",2.92150097083579e-09
"141",1.02366080107806e-09
"142",1.9830412481834e-07
"143",2.83491997113552e-13
"144",1.35184002296562e-09
"145",4.73870506480156e-11
"146",2.84151995387697e-10
"147",3.16619861157683e-11
"148",1.10006441374364e-11
"149",2.77756572013311e-10
"150",1.89954282683857e-06
"151",7.326960711913e-11
"152",1.35710842629127e-15
"153",1.04199469760448e-12
"154",3.75996666516127e-08
"155",9.78126912387603e-12
"156",4.31956348547962e-11
"157",2.92476552381426e-12
"158",1.75391452452458e-08
"159",3.32759279227746e-06
"160",2.23213067434878e-09
"161",1.50573671006583e-12
"162",7.58220554380471e-10
"163",3.24288617462361e-10
"164",7.26338013140706e-08
"165",1.04855056399799e-10
"166",1.17470126854157e-13
"167",3.2542009525415e-14
"168",2.01560552398548e-13
"169",2.32874969884078e-10
"170",2.16085282459263e-12
"171",3.45573431570164e-08
"172",2.25197171011203e-09
"173",5.39812375974389e-08
"174",1.36355356545852e-10
"175",1.90194439256282e-08
"176",1.84330022568222e-11
"177",0.0055715624408884
"178",1.80151238233569e-11
"179",0.045420796724071
"180",1.375965323245e-10
"181",4.28000862541071e-08
"182",2.54417219303958e-10
"183",2.18180452863192e-07
"184",5.04875488231507e-10
"185",5.31115016308596e-14
"186",6.03958512235537e-10
"187",1.40052745363965e-13
"188",4.57614385134999e-13
"189",1.38575976267462e-12
"190",1.91794990621612e-08
"191",5.31547368008618e-10
"192",1.37827581535349e-08
"193",1.08557686940058e-07
"194",8.58527798080022e-11
"195",2.01979859080713e-12
"196",1.52438629838738e-09
"197",1.577253271541e-09
"198",1.2752718476627e-12
"199",1.00666131141003e-07
"200",2.73805942200244e-12
"201",1.24164199705922e-06
"202",1.34630262109797e-08
"203",9.60567947476104e-13
"204",1.90715872276901e-06
"205",1.87620043783473e-11
"206",8.77626965739531e-12
"207",2.35944639333452e-14
"208",6.16571874170256e-11
"209",8.65809349035491e-09
"210",0.000149594866546679
"211",2.43664379588857e-16
"212",1.87116253258054e-08
"213",6.38787894909929e-09
"214",0.356944875822578
"215",6.91513270410699e-11
"216",1.85414460351575e-11
"217",0.0182750463227637
"218",1.6704057514385e-10
"219",8.5079939098753e-12
"220",1.82853416411489e-13
"221",1.87742159654334e-12
"222",6.21533065558957e-11
"223",2.22282698892366e-08
"224",2.47041584112535e-12
"225",8.13435330475443e-10
"226",1.5429682496097e-10
"227",8.04669180302441e-08
"228",7.92702414814802e-07
"229",1.73740609434969e-11
"230",3.39817871066333e-08
"231",1.44694024927312e-11
"232",3.51422795297923e-08
"233",2.34088499034561e-09
"234",1.12548349420577e-12
"235",2.67595439935139e-12
"236",6.194127724602e-09
"237",2.44235301307355e-11
"238",1.03495931614078e-09
"239",9.7816817198717e-11
"240",2.30949379349721e-12
"241",4.47457481664945e-12
"242",2.44314446147919e-12
"243",1.28104973649043e-11
"244",1.66862827426353e-13
"245",9.37408812031226e-14
"246",7.36581725821712e-10
"247",1.45414309833021e-12
"248",2.82606308276443e-13
"249",1.18643396234869e-08
"250",4.66110887727671e-12
